Sample_ID,SOM_Row,SOM_Col,SOM_Cluster
MB-2778,2,16,2_16
MB-2779,14,19,14_19
MB-2781,2,5,2_5
MB-2786,12,19,12_19
MB-2790,16,19,16_19
MB-2791,12,13,12_13
MB-2792,6,4,6_4
MB-2793,2,19,2_19
MB-2795,6,9,6_9
MB-2796,10,9,10_9
MB-2797,5,9,5_9
MB-2801,15,4,15_4
MB-2803,5,19,5_19
MB-2814,3,16,3_16
MB-2815,11,17,11_17
MB-2819,5,19,5_19
MB-2820,19,17,19_17
MB-2821,19,15,19_15
MB-2827,18,1,18_1
MB-2833,19,9,19_9
MB-2834,10,8,10_8
MB-2835,14,17,14_17
MB-2838,9,16,9_16
MB-2840,8,14,8_14
MB-2842,11,8,11_8
MB-2843,9,5,9_5
MB-2844,11,1,11_1
MB-2845,9,19,9_19
MB-2847,13,5,13_5
MB-2848,0,17,0_17
MB-2849,16,10,16_10
MB-2850,19,17,19_17
MB-2851,8,7,8_7
MB-2853,1,8,1_8
MB-2854,8,4,8_4
MB-2857,19,17,19_17
MB-2858,8,2,8_2
MB-2863,1,8,1_8
MB-2867,18,17,18_17
MB-2895,16,11,16_11
MB-2896,19,17,19_17
MB-2900,9,9,9_9
MB-2901,0,8,0_8
MB-2904,18,0,18_0
MB-2912,15,2,15_2
MB-2916,0,19,0_19
MB-2917,18,3,18_3
MB-2919,1,17,1_17
MB-2922,14,6,14_6
MB-2933,17,19,17_19
MB-2947,19,17,19_17
MB-2951,0,7,0_7
MB-2952,1,19,1_19
MB-2953,18,18,18_18
MB-2954,2,15,2_15
MB-2957,19,1,19_1
MB-2960,0,11,0_11
MB-2963,8,6,8_6
MB-2964,13,9,13_9
MB-2966,0,17,0_17
MB-2969,5,0,5_0
MB-2970,19,17,19_17
MB-2971,10,12,10_12
MB-2977,16,17,16_17
MB-2983,11,4,11_4
MB-2984,13,1,13_1
MB-2990,0,19,0_19
MB-2993,4,1,4_1
MB-2994,7,9,7_9
MB-2996,4,8,4_8
MB-2999,2,7,2_7
MB-3001,17,0,17_0
MB-3002,7,11,7_11
MB-3005,17,19,17_19
MB-3006,17,15,17_15
MB-3007,17,18,17_18
MB-3008,13,17,13_17
MB-3013,7,9,7_9
MB-3014,19,2,19_2
MB-3016,11,6,11_6
MB-3021,7,12,7_12
MB-3025,13,5,13_5
MB-3026,5,8,5_8
MB-3028,11,3,11_3
MB-3031,19,11,19_11
MB-3032,9,18,9_18
MB-3033,12,17,12_17
MB-3035,4,8,4_8
MB-3037,10,18,10_18
MB-3046,16,2,16_2
MB-3049,11,14,11_14
MB-3050,11,6,11_6
MB-3057,19,3,19_3
MB-3058,17,1,17_1
MB-3060,5,9,5_9
MB-3063,19,0,19_0
MB-3064,17,16,17_16
MB-3067,18,8,18_8
MB-3079,3,19,3_19
MB-3083,1,4,1_4
MB-3085,7,8,7_8
MB-3088,0,9,0_9
MB-3092,3,1,3_1
MB-3102,2,3,2_3
MB-3103,6,8,6_8
MB-3104,15,19,15_19
MB-3105,11,18,11_18
MB-3110,12,15,12_15
MB-3121,1,13,1_13
MB-3122,10,0,10_0
MB-3123,11,0,11_0
MB-3165,19,5,19_5
MB-3167,0,3,0_3
MB-3171,13,13,13_13
MB-3181,7,0,7_0
MB-3211,17,6,17_6
MB-3218,18,0,18_0
MB-3222,14,15,14_15
MB-3228,16,15,16_15
MB-3235,11,5,11_5
MB-3253,14,11,14_11
MB-3254,8,19,8_19
MB-3266,7,2,7_2
MB-3271,17,3,17_3
MB-3272,13,5,13_5
MB-3275,5,3,5_3
MB-3277,18,2,18_2
MB-3292,17,9,17_9
MB-3295,16,11,16_11
MB-3297,19,1,19_1
MB-3298,9,15,9_15
MB-3300,3,7,3_7
MB-3303,3,7,3_7
MB-3328,5,1,5_1
MB-3329,12,3,12_3
MB-3341,3,14,3_14
MB-3344,17,18,17_18
MB-3350,3,11,3_11
MB-3351,17,19,17_19
MB-3355,14,6,14_6
MB-3357,13,3,13_3
MB-3360,12,4,12_4
MB-3361,13,8,13_8
MB-3363,3,13,3_13
MB-3365,2,12,2_12
MB-3367,19,3,19_3
MB-3371,0,17,0_17
MB-3378,9,16,9_16
MB-3379,9,15,9_15
MB-3381,6,2,6_2
MB-3382,5,2,5_2
MB-3383,19,7,19_7
MB-3386,14,6,14_6
MB-3388,10,1,10_1
MB-3389,4,5,4_5
MB-3395,17,8,17_8
MB-3396,12,8,12_8
MB-3402,5,2,5_2
MB-3403,13,19,13_19
MB-3412,7,19,7_19
MB-3429,19,16,19_16
MB-3430,10,16,10_16
MB-3435,12,1,12_1
MB-3436,17,19,17_19
MB-3437,0,11,0_11
MB-3439,17,19,17_19
MB-3450,13,19,13_19
MB-3452,15,5,15_5
MB-3453,11,10,11_10
MB-3459,6,2,6_2
MB-3462,17,19,17_19
MB-3466,2,13,2_13
MB-3467,14,6,14_6
MB-3470,13,6,13_6
MB-3476,19,4,19_4
MB-3479,7,9,7_9
MB-3487,5,4,5_4
MB-3488,14,6,14_6
MB-3490,16,19,16_19
MB-3492,6,2,6_2
MB-3497,13,7,13_7
MB-3500,19,4,19_4
MB-3502,19,6,19_6
MB-3506,1,7,1_7
MB-3510,13,14,13_14
MB-3525,0,5,0_5
MB-3526,11,2,11_2
MB-3545,19,17,19_17
MB-3548,7,13,7_13
MB-3556,12,1,12_1
MB-3567,18,6,18_6
MB-3576,11,5,11_5
MB-3582,16,13,16_13
MB-3600,1,0,1_0
MB-3606,12,0,12_0
MB-3614,1,7,1_7
MB-3702,19,9,19_9
MB-3706,16,2,16_2
MB-3707,9,9,9_9
MB-3711,17,19,17_19
MB-3748,17,11,17_11
MB-3752,18,8,18_8
MB-3754,6,2,6_2
MB-3781,5,19,5_19
MB-3797,2,17,2_17
MB-3823,19,16,19_16
MB-3824,13,10,13_10
MB-3838,2,12,2_12
MB-3840,11,7,11_7
MB-3842,6,5,6_5
MB-3850,10,15,10_15
MB-3852,14,10,14_10
MB-3854,9,14,9_14
MB-3865,19,16,19_16
MB-3866,15,7,15_7
MB-3871,9,19,9_19
MB-3874,17,18,17_18
MB-4000,0,10,0_10
MB-4001,0,8,0_8
MB-4003,14,2,14_2
MB-4004,2,1,2_1
MB-4005,9,10,9_10
MB-4008,2,0,2_0
MB-4010,4,13,4_13
MB-4011,9,3,9_3
MB-4012,6,16,6_16
MB-4015,12,8,12_8
MB-4017,1,5,1_5
MB-4018,3,9,3_9
MB-4024,17,5,17_5
MB-4033,9,11,9_11
MB-4046,7,15,7_15
MB-4059,2,19,2_19
MB-4079,12,10,12_10
MB-4091,0,9,0_9
MB-4098,0,9,0_9
MB-4119,0,2,0_2
MB-4120,4,17,4_17
MB-4126,14,2,14_2
MB-4127,13,3,13_3
MB-4139,0,4,0_4
MB-4140,5,14,5_14
MB-4141,6,16,6_16
MB-4145,10,8,10_8
MB-4146,19,9,19_9
MB-4148,2,0,2_0
MB-4154,9,1,9_1
MB-4171,1,1,1_1
MB-4173,3,16,3_16
MB-4212,16,17,16_17
MB-4213,2,10,2_10
MB-4222,6,16,6_16
MB-4224,0,3,0_3
MB-4230,7,16,7_16
MB-4233,7,4,7_4
MB-4234,0,9,0_9
MB-4235,9,19,9_19
MB-4236,0,1,0_1
MB-4250,10,9,10_9
MB-4254,16,1,16_1
MB-4264,1,2,1_2
MB-4266,19,11,19_11
MB-4274,6,17,6_17
MB-4276,11,4,11_4
MB-4278,6,16,6_16
MB-4281,13,1,13_1
MB-4282,8,7,8_7
MB-4283,6,17,6_17
MB-4289,6,15,6_15
MB-4292,5,15,5_15
MB-4293,3,19,3_19
MB-4298,3,1,3_1
MB-4300,14,3,14_3
MB-4303,14,3,14_3
MB-4306,7,16,7_16
MB-4310,6,16,6_16
MB-4313,6,16,6_16
MB-4317,13,3,13_3
MB-4318,5,5,5_5
MB-4322,0,2,0_2
MB-4323,7,16,7_16
MB-4324,2,2,2_2
MB-4328,2,4,2_4
MB-4329,11,14,11_14
MB-4331,2,0,2_0
MB-4332,19,1,19_1
MB-4333,8,16,8_16
MB-4339,5,15,5_15
MB-4341,14,6,14_6
MB-4342,16,14,16_14
MB-4343,12,10,12_10
MB-4348,3,2,3_2
MB-4350,13,3,13_3
MB-4351,14,3,14_3
MB-4353,14,19,14_19
MB-4354,7,15,7_15
MB-4357,11,11,11_11
MB-4360,13,2,13_2
MB-4362,7,16,7_16
MB-4368,6,17,6_17
MB-4374,6,16,6_16
MB-4375,0,19,0_19
MB-4381,6,16,6_16
MB-4390,10,17,10_17
MB-4395,6,15,6_15
MB-4407,15,2,15_2
MB-4408,14,2,14_2
MB-4416,19,9,19_9
MB-4417,15,4,15_4
MB-4418,5,15,5_15
MB-4421,6,15,6_15
MB-4426,13,2,13_2
MB-4434,2,1,2_1
MB-4442,0,19,0_19
MB-4484,9,12,9_12
MB-4529,4,10,4_10
MB-4548,17,10,17_10
MB-4557,0,19,0_19
MB-4564,0,0,0_0
MB-4578,7,16,7_16
MB-4591,1,1,1_1
MB-4593,0,18,0_18
MB-4598,11,16,11_16
MB-4599,6,14,6_14
MB-4601,13,0,13_0
MB-4602,1,2,1_2
MB-4603,0,19,0_19
MB-4607,5,17,5_17
MB-4616,6,18,6_18
MB-4618,0,15,0_15
MB-4621,18,0,18_0
MB-4622,17,1,17_1
MB-4623,10,9,10_9
MB-4626,2,2,2_2
MB-4627,12,15,12_15
MB-4630,6,14,6_14
MB-4633,14,15,14_15
MB-4634,4,16,4_16
MB-4639,3,0,3_0
MB-4640,12,4,12_4
MB-4641,9,16,9_16
MB-4642,1,10,1_10
MB-4643,15,8,15_8
MB-4644,13,9,13_9
MB-4648,3,0,3_0
MB-4649,11,10,11_10
MB-4651,9,6,9_6
MB-4653,15,18,15_18
MB-4655,0,3,0_3
MB-4660,19,0,19_0
MB-4661,8,16,8_16
MB-4663,16,8,16_8
MB-4665,3,10,3_10
MB-4666,14,12,14_12
MB-4667,12,11,12_11
MB-4669,6,14,6_14
MB-4670,5,15,5_15
MB-4671,4,15,4_15
MB-4672,0,1,0_1
MB-4673,4,5,4_5
MB-4674,1,10,1_10
MB-4675,2,19,2_19
MB-4679,17,9,17_9
MB-4681,5,11,5_11
MB-4682,3,4,3_4
MB-4685,2,3,2_3
MB-4686,5,1,5_1
MB-4687,15,11,15_11
MB-4688,3,2,3_2
MB-4691,12,11,12_11
MB-4692,6,16,6_16
MB-4694,19,7,19_7
MB-4695,15,16,15_16
MB-4696,19,8,19_8
MB-4697,10,19,10_19
MB-4698,11,16,11_16
MB-4701,0,19,0_19
MB-4702,0,7,0_7
MB-4704,7,12,7_12
MB-4705,15,13,15_13
MB-4706,8,12,8_12
MB-4707,15,0,15_0
MB-4708,11,19,11_19
MB-4709,14,19,14_19
MB-4710,12,13,12_13
MB-4711,17,10,17_10
MB-4712,9,0,9_0
MB-4714,19,4,19_4
MB-4715,16,3,16_3
MB-4716,6,10,6_10
MB-4717,17,6,17_6
MB-4718,9,12,9_12
MB-4719,4,13,4_13
MB-4721,6,11,6_11
MB-4722,2,19,2_19
MB-4723,15,13,15_13
MB-4724,14,9,14_9
MB-4725,11,3,11_3
MB-4729,12,4,12_4
MB-4730,3,19,3_19
MB-4731,13,1,13_1
MB-4732,18,5,18_5
MB-4733,15,11,15_11
MB-4735,0,16,0_16
MB-4737,3,11,3_11
MB-4738,17,16,17_16
MB-4739,14,13,14_13
MB-4741,9,15,9_15
MB-4742,8,19,8_19
MB-4743,16,14,16_14
MB-4744,2,17,2_17
MB-4745,13,9,13_9
MB-4746,11,13,11_13
MB-4749,8,14,8_14
MB-4750,9,14,9_14
MB-4752,9,6,9_6
MB-4757,19,0,19_0
MB-4758,17,0,17_0
MB-4760,16,16,16_16
MB-4762,0,0,0_0
MB-4763,14,8,14_8
MB-4764,10,15,10_15
MB-4767,1,0,1_0
MB-4769,16,4,16_4
MB-4770,13,0,13_0
MB-4771,15,18,15_18
MB-4778,4,13,4_13
MB-4779,9,17,9_17
MB-4784,0,7,0_7
MB-4785,0,18,0_18
MB-4787,4,19,4_19
MB-4790,5,13,5_13
MB-4791,12,11,12_11
MB-4792,18,6,18_6
MB-4793,18,3,18_3
MB-4794,2,9,2_9
MB-4796,0,16,0_16
MB-4797,7,13,7_13
MB-4798,0,18,0_18
MB-4800,4,0,4_0
MB-4801,7,18,7_18
MB-4802,10,14,10_14
MB-4805,7,8,7_8
MB-4806,17,19,17_19
MB-4809,19,6,19_6
MB-4814,19,9,19_9
MB-4818,2,11,2_11
MB-4820,0,9,0_9
MB-4822,14,13,14_13
MB-4825,3,12,3_12
MB-4827,5,18,5_18
MB-4828,6,12,6_12
MB-4829,11,13,11_13
MB-4832,16,18,16_18
MB-4834,5,3,5_3
MB-4836,13,12,13_12
MB-4838,0,3,0_3
MB-4839,4,10,4_10
MB-4843,7,19,7_19
